neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
1,30,0,87,0.0,3,0.1100846805234796,2,346,2019,8,11
0,7,0,32,0.002002002002002002,3,0.06774441878367975,0,0,2019,6,30
1,21,0,50,0.02702702702702703,1,0.0023094688221709007,3,333,2016,5,17
1,22,1,150,0.36436436436436437,0,0.041570438799076216,0,365,2019,8,12
1,21,0,69,0.0,3,0.41801385681293307,1,315,2019,8,11
1,25,0,342,0.0,3,0.026173979984603538,2,357,2019,8,16
1,30,1,200,0.0,3,0.16320246343341033,2,309,2019,8,8
1,25,0,58,0.006006006006006006,3,0.05850654349499615,0,0,2015,1,29
1,25,0,253,0.0,1,0.0023094688221709007,2,356,2017,7,7
1,25,0,303,0.0,3,0.05850654349499615,2,358,2019,7,22
1,25,0,54,0.001001001001001001,3,0.07544264819091609,2,358,2019,7,25
1,25,0,135,0.0,3,0.0800615858352579,2,360,2019,7,11
1,25,0,54,0.001001001001001001,2,0.009237875288683603,2,363,2019,2,9
1,24,1,119,0.001001001001001001,1,0.006928406466512702,0,118,2018,4,11
1,37,1,108,0.002002002002002002,3,0.03541185527328714,0,338,2019,7,1
1,20,0,60,0.002002002002002002,3,0.06697459584295612,0,350,2019,7,31
1,21,0,89,0.0,3,0.15011547344110854,1,333,2019,8,13
1,21,0,67,0.0,3,0.02155504234026174,1,0,2019,8,11
1,21,1,250,0.0890890890890891,3,0.027713625866050806,0,289,2019,2,28
1,25,0,40,0.0890890890890891,0,0.041570438799076216,0,349,2019,8,12
1,26,0,119,0.001001001001001001,0,0.008468052347959968,0,365,2018,12,31
1,25,0,36,0.02702702702702703,0,0.004618937644341801,3,331,2018,6,30
1,30,1,128,0.001001001001001001,3,0.08237105465742879,2,321,2019,8,13
1,36,0,81,0.005005005005005005,3,0.049268668206312545,0,215,2019,7,6
1,25,1,200,0.003003003003003003,3,0.03002309468822171,3,33,2017,12,23
1,30,1,150,0.013013013013013013,2,0.007698229407236336,0,17,2018,7,24
1,31,1,90,0.0,3,0.062355658198614314,3,45,2019,8,5
1,31,1,93,0.004004004004004004,3,0.05157813702848345,3,73,2019,7,17
0,7,0,31,0.36436436436436437,0,0.041570438799076216,0,365,2019,8,12
1,30,1,200,0.0,3,0.1170130869899923,2,315,2019,6,30
1,30,1,106,0.0,3,0.26173979984603546,2,335,2019,8,3
1,27,0,49,0.0,2,0.013086989992301769,2,350,2019,8,11
1,39,0,69,0.0890890890890891,0,0.041570438799076216,0,364,2019,8,12
1,26,1,139,0.001001001001001001,3,0.020785219399538108,2,338,2019,6,22
1,37,0,110,0.0890890890890891,2,0.006928406466512702,0,215,2019,6,2
1,20,1,228,0.05905905905905906,2,0.007698229407236336,0,365,2015,9,25
1,26,1,254,0.006006006006006006,2,0.0038491147036181675,0,0,2016,7,9
1,25,1,275,0.002002002002002002,0,0.041570438799076216,0,0,2019,8,12
1,30,1,125,0.001001001001001001,3,0.1147036181678214,2,305,2019,8,7
1,31,1,92,0.0,3,0.07544264819091609,3,77,2019,7,30
1,25,1,300,0.001001001001001001,1,0.003079291762894534,0,0,2015,6,15
1,25,0,137,0.0,3,0.050808314087759814,2,365,2019,3,18
1,25,0,60,0.0,1,0.005388760585065436,2,342,2019,6,30
1,31,1,85,0.004004004004004004,3,0.08622016936104696,3,84,2019,6,30
1,25,0,150,0.0,0,0.041570438799076216,1,0,2019,8,12
1,21,1,131,0.001001001001001001,3,0.07852193995381063,2,355,2019,8,12
1,21,1,126,0.0890890890890891,0,0.0015396458814472668,0,282,2017,1,18
1,21,0,200,0.009009009009009009,3,0.020015396458814474,0,365,2015,8,9
1,31,1,85,0.05905905905905906,3,0.05003849114703618,3,26,2019,3,20
1,30,1,181,0.004004004004004004,1,0.0015396458814472668,0,0,2014,6,28
1,26,0,81,0.0,0,0.041570438799076216,0,0,2019,8,12
1,31,1,200,0.02902902902902903,3,0.026173979984603538,3,352,2019,5,13
1,29,1,250,0.003003003003003003,0,0.041570438799076216,0,0,2019,8,12
1,30,1,219,0.001001001001001001,3,0.22940723633564283,2,266,2019,7,27
1,30,1,137,0.0,3,0.22016936104695922,2,288,2019,8,12
1,22,1,206,0.001001001001001001,3,0.02155504234026174,0,0,2016,11,19
1,24,1,150,0.001001001001001001,3,0.052347959969207075,0,25,2019,8,13
1,32,1,179,0.006006006006006006,0,0.041570438799076216,0,0,2019,8,12
1,21,0,60,0.0890890890890891,0,0.023864511162432638,3,361,2019,5,28
1,31,1,89,0.003003003003003003,3,0.05003849114703618,3,134,2019,7,18
1,21,0,140,0.001001001001001001,3,0.062355658198614314,2,168,2019,8,18
1,31,1,85,0.02902902902902903,3,0.07313317936874518,3,86,2019,6,25
1,30,1,150,0.001001001001001001,3,0.28098537336412627,2,260,2019,7,28
0,34,0,44,0.001001001001001001,1,0.0038491147036181675,0,0,2015,11,8
1,31,1,93,0.0,3,0.03156274056966897,3,84,2019,6,23
1,28,0,58,0.0,3,0.03310238645111624,1,233,2018,2,10
1,28,0,90,0.0,2,0.006928406466512702,1,233,2017,7,29
1,30,1,137,0.0,3,0.07852193995381063,2,337,2019,2,1
0,8,0,50,0.001001001001001001,0,0.041570438799076216,0,0,2019,8,12
1,24,0,150,0.0890890890890891,3,0.04003079291762895,1,90,2018,11,17
1,35,1,237,0.002002002002002002,3,0.07698229407236336,1,36,2019,8,12
1,31,1,90,0.0,3,0.09776751347190146,3,10,2019,7,8
1,31,1,94,0.0,3,0.07621247113163972,3,77,2019,8,13
1,31,1,199,0.02702702702702703,3,0.09545804464973055,0,163,2019,6,23
0,6,1,158,0.011011011011011011,3,0.06697459584295612,0,138,2019,8,8
1,26,0,65,0.0,2,0.006158583525789068,0,0,2016,1,3
1,31,0,69,0.013013013013013013,0,0.041570438799076216,0,0,2019,8,12
1,39,0,122,0.0,0,0.009237875288683603,0,361,2019,1,15
1,28,1,244,0.001001001001001001,3,0.1685912240184758,1,74,2019,8,9
0,12,0,156,0.0,0,0.041570438799076216,0,365,2019,8,12
1,28,0,58,0.0,3,0.03541185527328714,1,233,2018,8,26
1,25,1,387,0.006006006006006006,3,0.059276366435719784,3,262,2019,8,3
1,31,1,83,0.0,3,0.09314857582755966,3,141,2019,7,31
1,31,1,90,0.009009009009009009,3,0.05157813702848345,3,4,2019,8,8
1,28,0,58,0.0,2,0.014626635873749037,1,233,2017,12,14
0,23,0,65,0.0,3,0.07005388760585066,0,329,2019,7,30
1,31,1,90,0.003003003003003003,3,0.06312548113933794,3,64,2019,8,10
1,25,0,62,0.0,3,0.05003849114703618,2,358,2019,8,25
1,25,0,56,0.0,3,0.4326404926866821,2,343,2019,8,16
1,36,1,358,0.006006006006006006,3,0.04080061585835258,3,275,2019,2,5
1,21,0,50,0.17917917917917917,0,0.041570438799076216,0,365,2019,8,12
1,24,1,160,0.004004004004004004,2,0.014626635873749037,0,69,2018,1,20
1,31,1,85,0.004004004004004004,3,0.06004618937644342,3,123,2019,8,1
1,35,1,281,0.006006006006006006,3,0.036181678214010776,2,362,2019,7,17
1,31,0,60,0.0,3,0.06081601231716705,2,346,2019,8,2
1,31,1,85,0.003003003003003003,3,0.10469591993841416,3,69,2019,8,12
1,22,0,115,0.001001001001001001,0,0.041570438799076216,0,0,2019,8,12
1,36,0,89,0.001001001001001001,3,0.016166281755196302,0,355,2016,8,11
1,26,1,306,0.001001001001001001,3,0.2424942263279446,0,324,2019,8,9
1,35,1,218,0.001001001001001001,3,0.37644341801385683,0,231,2019,8,15
1,25,1,249,0.0,3,0.12548113933795227,1,351,2019,8,5
0,8,1,268,0.004004004004004004,2,0.004618937644341801,2,365,2017,8,6
1,36,1,237,0.004004004004004004,3,0.03310238645111624,3,261,2018,1,25
1,35,1,118,0.006006006006006006,3,0.061585835257890686,2,348,2019,8,19
1,30,0,94,0.0,3,0.1308698999230177,2,336,2019,7,16
0,23,0,79,0.004004004004004004,2,0.012317167051578136,2,348,2019,7,27
0,23,1,258,0.004004004004004004,3,0.024634334103156273,2,348,2017,5,24
1,29,1,164,0.013013013013013013,2,0.004618937644341801,0,0,2016,6,26
0,8,0,62,0.002002002002002002,1,0.003079291762894534,2,365,2019,6,15
0,8,0,62,0.002002002002002002,0,0.0007698229407236335,2,365,2015,1,25
1,24,1,208,0.0,0,0.041570438799076216,0,0,2019,8,12
1,31,1,94,0.0,3,0.07236335642802155,3,69,2019,7,14
0,23,0,28,0.0,0,0.041570438799076216,0,0,2019,8,12
1,35,1,160,0.02902902902902903,3,0.2340261739799846,0,0,2018,8,24
1,25,1,131,0.002002002002002002,3,0.047729022324865276,0,340,2019,7,26
1,26,0,89,0.009009009009009009,0,0.003079291762894534,0,0,2018,2,23
1,20,1,219,0.0,0,0.041570438799076216,0,0,2019,8,12
1,31,0,60,0.0,3,0.1424172440338722,2,333,2019,8,12
1,31,0,60,0.0,3,0.13240954580446496,2,346,2019,8,13
1,31,0,60,0.0,3,0.24557351809083913,2,324,2019,8,12
1,28,1,224,0.004004004004004004,0,0.041570438799076216,0,0,2019,8,12
1,32,0,99,0.002002002002002002,2,0.007698229407236336,2,364,2019,7,20
1,38,1,387,0.001001001001001001,3,0.19861431870669746,2,287,2019,8,16
1,21,1,250,0.0,1,0.0023094688221709007,0,0,2015,12,26
1,36,1,149,0.002002002002002002,3,0.03695150115473441,3,257,2018,7,12
1,31,1,92,0.006006006006006006,3,0.04695919938414164,3,49,2019,4,15
1,25,1,100,0.0890890890890891,2,0.004618937644341801,0,209,2015,5,5
1,35,1,240,0.006006006006006006,3,0.01924557351809084,2,329,2019,8,16
1,26,1,81,0.0,0,0.041570438799076216,0,0,2019,8,12
1,38,1,181,0.006006006006006006,3,0.052347959969207075,2,358,2019,8,17
1,31,0,60,0.0,3,0.06466512702078521,2,304,2019,8,12
1,26,1,181,0.001001001001001001,3,0.018475750577367205,0,0,2016,5,15
1,25,0,131,0.02902902902902903,2,0.007698229407236336,0,365,2018,6,2
1,36,0,69,0.0,3,0.01924557351809084,0,211,2019,8,25
1,31,1,87,0.004004004004004004,3,0.024634334103156273,3,74,2019,4,30
1,36,1,201,0.002002002002002002,2,0.011547344110854504,3,275,2018,5,15
1,21,0,160,0.17917917917917917,0,0.041570438799076216,0,365,2019,8,12
1,28,1,287,0.001001001001001001,3,0.20323325635103925,1,217,2019,8,27
1,20,0,75,0.002002002002002002,3,0.026173979984603538,2,256,2019,7,22
1,38,1,150,0.006006006006006006,3,0.15473441108545036,2,364,2019,8,20
0,6,0,50,0.0,2,0.009237875288683603,1,335,2019,7,26
1,31,0,60,0.0,3,0.08314087759815243,2,348,2019,8,11
1,30,0,119,0.001001001001001001,0,0.0007698229407236335,0,0,2015,1,1
1,31,1,85,0.003003003003003003,3,0.06774441878367975,3,67,2019,8,4
0,7,0,37,0.17917917917917917,0,0.041570438799076216,0,0,2019,8,12
1,31,1,94,0.014014014014014014,3,0.09699769053117782,3,64,2019,7,31
1,31,0,90,0.001001001001001001,3,0.10931485758275596,2,358,2019,8,7
1,27,0,81,0.0,1,0.0023094688221709007,0,0,2015,9,14
1,30,1,287,0.003003003003003003,1,0.003079291762894534,0,0,2016,2,11
1,31,1,119,0.009009009009009009,3,0.03002309468822171,3,88,2019,2,17
1,31,1,85,0.003003003003003003,3,0.10700538876058506,3,55,2019,8,13
1,31,1,94,0.004004004004004004,3,0.100846805234796,3,75,2019,8,3
1,31,0,49,0.0,0,0.041570438799076216,0,0,2019,8,12
1,30,0,146,0.0,0,0.041570438799076216,0,365,2019,8,12
1,31,0,60,0.0,3,0.047729022324865276,2,365,2019,4,21
1,31,0,60,0.0,3,0.07544264819091609,2,352,2019,7,26
1,31,0,60,0.0,3,0.052347959969207075,2,353,2019,8,11
1,21,1,132,0.001001001001001001,3,0.10007698229407236,2,341,2019,8,12
1,35,1,319,0.006006006006006006,3,0.023864511162432638,2,356,2019,4,27
